Player Name,Matchup,Market,Odds
B. Aubrey,VS PHI,Over 1.5 FGM,-140
B. Aubrey,VS PHI,Over 1.5 XPM,-110
K. Murray,VS NYJ,Under 27.5 Rush Yds,-115
K. Murray,VS NYJ,Under 0.5 Int,-145
K. Murray,VS NYJ,Under 5.5 Rush Att,-135
C. Ryland,VS NYJ,Over 1.5 FGM,-110
C. Ryland,VS NYJ,Under 2.5 XPM,-190
A. Rodgers,@ ARI,Over 1.5 Pass TD,-114
A. Rodgers,@ ARI,Under 0.5 Int,-155
T. Conklin,@ ARI,Over 0.5 Anytime TD,+430
R. Patterson,@ ARI,Under 1.5 FGM,-105
D. Smith,@ DAL,Over 0.5 Anytime TD,+125
J. Hurts,@ DAL,Over 0.5 Anytime TD,+105
J. Hurts,@ DAL,Over 0.5 Anytime TD,+105
J. Conner,VS NYJ,Over 95.5 Rush + Rec Yds,-115
A. Rodgers,@ ARI,Under 241.5 Pass Yds,-114
B. Hall,@ ARI,Under 3.5 Receptions,+112
T. Conklin,@ ARI,Over 2.5 Receptions,-150
G. Wilson,@ ARI,Over 66.5 Rec Yds,-114
B. Hall,@ ARI,Over 65.5 Rush Yds,-114
B. Hall,@ ARI,Under 29.5 Rec Yds,-114
B. Hall,@ ARI,Under 99.5 Rush + Rec Yds,-114
J. Conner,VS NYJ,Over 17.5 Rush Att,-135
J. Conner,VS NYJ,Over 17.5 Rush Att,-135
J. Conner,VS NYJ,Over 78.5 Rush Yds,-115
J. Hurts,@ DAL,Under 0.5 Int,-165
J. Hurts,@ DAL,Under 0.5 Int,-165
J. Hurts,@ DAL,Under 41.5 Rush Yds,-115
J. Hurts,@ DAL,Under 10.5 Rush Att,+110
C. Rush,VS PHI,Under 196.5 Pass Yds,-114
C. Rush,VS PHI,Under 19.5 Pass Compl,-102
C. Rush,VS PHI,Under 32.5 Pass Att,+106
C. Lamb,VS PHI,Over 62.5 Rec Yds,-110
C. Lamb,VS PHI,Over 62.5 Rec Yds,-110
D. Smith,@ DAL,Over 63.5 Rec Yds,-115
J. Hurts,@ DAL,Over 202.5 Pass Yds,-114
J. Hurts,@ DAL,Under 18.5 Pass Compl,-138
J. Hurts,@ DAL,Under 18.5 Pass Compl,-138
J. Hurts,@ DAL,Under 27.5 Pass Att,-135
J. Hurts,@ DAL,Under 27.5 Pass Att,-135
J. Hurts,@ DAL,Over 243.5 Pass + Rush Yds,-115
